shirt_color_name,shirt_hex,pant_color_name,pant_hex,accessory_suggestion,style_type
red,#FF0000,black,#000000,belt,casual
red,#FF0000,black,#000000,bracelet,sport
red,#FF0000,black,#000000,bracelet,sport
red,#FF0000,black,#000000,cap,sport
red,#FF0000,black,#000000,watch,sport
red,#FF0000,black,#000000,cap,party
red,#FF0000,black,#000000,watch,formal
red,#FF0000,black,#000000,sunglass,formal
red,#FF0000,black,#000000,sunglass,formal
red,#FF0000,black,#000000,bracelet,casual
red,#FF0000,black,#000000,sunglass,casual
red,#FF0000,black,#000000,sunglass,party
red,#FF0000,black,#000000,sunglass,formal
red,#FF0000,black,#000000,bracelet,party
red,#FF0000,black,#000000,cap,formal
red,#FF0000,black,#000000,bracelet,sport
red,#FF0000,black,#000000,sunglass,casual
red,#FF0000,black,#000000,watch,sport
red,#FF0000,black,#000000,cap,casual
red,#FF0000,black,#000000,watch,sport
red,#FF0000,black,#000000,bracelet,sport
red,#FF0000,black,#000000,belt,formal
red,#FF0000,black,#000000,cap,casual
red,#FF0000,black,#000000,sunglass,formal
red,#FF0000,black,#000000,bracelet,casual
red,#FF0000,black,#000000,sunglass,casual
red,#FF0000,black,#000000,sunglass,casual
red,#FF0000,black,#000000,bracelet,casual
red,#FF0000,black,#000000,belt,party
red,#FF0000,black,#000000,watch,party
red,#FF0000,black,#000000,cap,party
red,#FF0000,black,#000000,watch,casual
red,#FF0000,black,#000000,cap,casual
red,#FF0000,black,#000000,watch,casual
red,#FF0000,black,#000000,watch,casual
red,#FF0000,black,#000000,belt,party
red,#FF0000,black,#000000,bracelet,casual
red,#FF0000,black,#000000,belt,formal
red,#FF0000,black,#000000,belt,sport
red,#FF0000,black,#000000,sunglass,sport
red,#FF0000,white,#FFFFFF,sunglass,sport
red,#FF0000,white,#FFFFFF,watch,sport
red,#FF0000,white,#FFFFFF,watch,casual
red,#FF0000,white,#FFFFFF,sunglass,party
red,#FF0000,white,#FFFFFF,belt,party
red,#FF0000,white,#FFFFFF,bracelet,formal
red,#FF0000,white,#FFFFFF,watch,party
red,#FF0000,white,#FFFFFF,watch,formal
red,#FF0000,white,#FFFFFF,belt,formal
red,#FF0000,white,#FFFFFF,belt,casual
